feature,feature_score
dividend_17,0.0038293952543097575
dividend_18,0.030303815345990272
financial_markets_13,0.012525191949363277
inflation_1,0.014535541933410242
inflation_2,0.038712958964163977
judge_20,0.025922381010437347
movie_2,0.0477124473443599
president_7,0.004737769834855569
republican_19,0.014347346064713825
water_3,0.03811415866339068
water_4,0.035482605175658946
wisconsin_17,
office_4,
water_19,
bonds,
stocks_9,
president_1,
inflation_3,
fine_16,
invest,
sell,
kentucky_11,
train_1,
fine_1,
kentucky_10,
war,
world_15,
short_selling_7,
chance_4,
financial_markets_1,
garden_20,
social_5,
marketing_19,
kentucky_12,
present_3,
short_sell_18,
served_18,
greed,
revenue_20,
invest_15,
served_8,
marketing_15,
water_10,
present_20,
garden_2,
wisconsin_12,
garden_17,
world_14,
stocks_16,
marketing_12,
water_14,
water_16,
stocks_1,
dividend_8,
fun_7,
fed,
buy,
short_sell_12,
judge,
chance,
fine_3,
york,
revenue_6,
served_5,
present_6,
car,
stocks_7,
garden_9,
fine_10,
republican_4,
minister,
fun_2,
invest_19,
short selling,
dividend_14,
train_4,
invest_4,
marketing_18,
hedge,
wisconsin_20,
kitchen,
short_selling_12,
chance_13,
judge_10,
kentucky_20,
leverage,
fine_7,
kentucky_15,
fun_9,
bubble,
movie_11,
train,
ore,
financial_markets_4,
credit,
short_sell_7,
train_20,
debt,
stocks_14,
earnings,
fond,
stocks_18,
served_19,
judge_18,
financial_markets_20,
short_selling_2,
invest_11,
movie_17,
revenue_7,
short_selling_19,
profit,
inflation_7,
present_5,
justice,
revenue_12,
train_7,
invest_16,
world_12,
office_6,
social_7,
wisconsin_10,
office_19,
judge_17,
environment_14,
inflation_8,
party_1,
dividend_3,
portfolio,
fine_2,
fun_6,
served_4,
political,
forex,
restaurant,
garden_11,
office_5,
present_16,
chance_5,
president_14,
financial_markets_11,
fine_18,
party_15,
social_19,
federal,
president_18,
judge_9,
carolina,
financial_markets_18,
short_sell_19,
money,
revenue_14,
judge_15,
office_8,
global,
environment_12,
financial_markets_3,
office_10,
fine,
marketing_7,
party,
present_19,
social_6,
members_2,
rich,
marketing_3,
short_sell_10,
world_13,
members_17,
judge_4,
social_14,
fine_4,
service,
community,
fine_12,
revenue_1,
party_13,
judge_14,
stocks_10,
revenue_19,
dividend_7,
services,
train_13,
seats,
movement,
movie_8,
election_19,
members_18,
president_3,
members_3,
inflation_19,
inflation_13,
investment,
election_17,
fine_5,
office_18,
inflation,
chance_14,
social_3,
illinois,
party_10,
republican_9,
water_20,
short_selling_11,
chance_20,
dividend_4,
short_sell_20,
firm,
stocks_17,
election_10,
invest_2,
chance_9,
metals,
politics,
fine_9,
train_18,
environment_11,
served_3,
economics,
fun_11,
train_14,
garden_8,
world_6,
wisconsin_2,
fine_17,
ltd,
invest_10,
world_2,
judge_6,
revenue_2,
office_12,
chance_19,
case,
dividend_1,
short_selling_9,
president_11,
kentucky_7,
party_2,
marketing_16,
founded,
election_15,
judge_5,
dividend_20,
party_14,
judge_12,
inflation_17,
short_sell_3,
stocks_8,
invest_5,
water_8,
world_5,
economic,
fine_8,
law,
members_13,
chance_15,
republican_2,
million,
republican_14,
judge_2,
police,
judge_8,
markets,
movie_9,
water_9,
inflation_15,
movie_18,
social_9,
chance_16,
present,
short_sell_14,
served_14,
financial_markets_10,
tennessee,
short_sell_9,
dividend_12,
environment_5,
kentucky_18,
headlines,
movie_16,
social_16,
inc,
elected,
movie_14,
virginia,
served_2,
marketing_11,
inflation_5,
food,
chance_11,
environment_2,
water_13,
social_8,
union,
republican_10,
served_20,
movie_13,
election_4,
office_7,
invest_12,
fine_19,
revenue_9,
short_selling_5,
president_4,
inflation_6,
marketing_10,
train_6,
short_selling_13,
financial_markets_8,
wisconsin_6,
party_12,
return,
president_15,
fine_13,
stocks,
garden_14,
short_selling_1,
election_8,
washington,
wisconsin_3,
financial_markets_2,
stock market,
legal,
garden_18,
home,
environment_3,
president_16,
world_3,
short_sell_1,
short_selling_16,
financial_markets_17,
served_9,
short_sell_16,
train_17,
senate,
served,
office_16,
office_11,
water,
election_14,
election_16,
technology,
wisconsin_15,
train_2,
short_selling_14,
wisconsin_13,
garden_6,
social_10,
members_4,
movie_19,
served_13,
nyse,
dividend_5,
blacklist,
marketing_8,
development,
ministry,
office_15,
society,
environment_17,
fun_18,
conflict,
invest_8,
revenue_5,
world_16,
world_19,
garden_4,
stocks_5,
fun_19,
movie_7,
social_20,
president_5,
garden_10,
served_17,
judge_3,
