feature,feature_score
DOW_JONES_2,0.0034964715723064246
blacklist_3,0.008765330089338275
blacklist_9,0.01565121905619021
blacklist_19,0.016604773924110607
committee_13,0.007436898876145549
committee_19,0.01036890475346002
debt_12,0.02554572052566106
ore_20,0.0007914504994295583
portfolio_20,0.015494091859223316
transaction_1,0.0010436359699523222
county_17,
crash_7,
community,
william,
ore_5,
lifestyle,
transaction_12,
ore_3,
DOW_JONES_1,
county,
security,
county_10,
DOW_JONES_4,
industry,
opportunity,
dow_jones_8,
market,
conflict,
portfolio_16,
economy,
crash_9,
seats,
debt_18,
committee_10,
rich,
crash_5,
dow_jones_5,
happy,
restaurant,
bank,
debt_10,
greed,
federal,
debt_2,
council,
ore_6,
blacklist_2,
debt,
crash_13,
markets,
economics,
unemployment,
committee_11,
economic,
companies,
gold,
consumption,
democratic,
blacklist_4,
carolina,
blacklist_12,
risk,
corporation,
credit,
debt_1,
present,
BUY AND HOLD,
dow_jones_14,
DOW_JONES_20,
portfolio,
debt_13,
committee_4,
dow_jones_17,
county_19,
county_2,
project,
judge,
county_11,
crash_17,
committee_15,
committee_18,
car,
revenue,
transaction_5,
transaction_6,
cancer,
committee,
buy,
transaction_18,
trader,
ore_12,
virginia,
crash_18,
ore_8,
DOW_JONES_16,
forex,
massachusetts,
rights,
voters,
bubble,
management,
vermont,
crash_10,
portfolio_15,
transaction_9,
blacklist_7,
blacklist_13,
debt_7,
oil,
DOW_JONES_14,
portfolio_1,
garden,
dow_jones_7,
transaction_13,
transaction_2,
transaction,
housing,
derivatives,
committee_6,
world,
war,
home,
portfolio_6,
service,
marriage,
banking,
portfolio_19,
DOW_JONES_17,
governor,
college,
crash_1,
portfolio_2,
portfolio_3,
sell,
ore_17,
DOW_JONES_8,
DOW_JONES_13,
county_13,
stats,
wisconsin,
elections,
fed,
elected,
transaction_11,
health,
crash_14,
dow_jones_1,
law,
return,
tourism,
georgia,
ore_13,
ltd,
crash_4,
transaction_7,
county_5,
blacklist_6,
county_7,
committee_7,
media,
county_20,
committee_20,
transaction_15,
office,
DOW_JONES_6,
ore_18,
county_16,
chance,
financial,
loss,
union,
inc,
global,
DOW_JONES_12,
debt_19,
DOW_JONES_10,
portfolio_4,
social,
ring,
technology,
crisis,
portfolio_17,
debt_4,
debt_11,
ore_4,
returns,
crash,
transaction_8,
DOW_JONES_11,
DOW_JONES_9,
DOW_JONES_15,
blacklist,
leverage,
washington,
dow_jones_13,
DOW_JONES_5,
success,
county_3,
ore_15,
blacklist_20,
crash_3,
portfolio_9,
ceo,
members,
ministry,
debt_17,
county_14,
short sell,
blacklist_10,
products,
committee_14,
million,
dow_jones_15,
DOW_JONES_7,
transaction_19,
dow_jones_11,
portfolio_11,
missouri,
portfolio_18,
york,
transaction_3,
stocks,
money,
transaction_4,
dow jones,
ore,
debt_15,
headlines,
religion,
hedge,
government,
county_15,
crash_6,
ore_1,
dow_jones_2,
committee_5,
crash_12,
committee_9,
society,
invest,
movie,
portfolio_10,
dow_jones_20,
crash_16,
committee_1,
debt_16,
district,
blacklist_16,
dividend,
election,
committee_16,
transaction_17,
bonds,
travel,
ohio,
pennsylvania,
committee_17,
blacklist_14,
minister,
services,
DOW_JONES_18,
inflation,
transaction_16,
secretary,
county_6,
blacklist_11,
dow_jones_3,
marketing,
legal,
dow_jones_10,
county_4,
finance,
crash_20,
debt_8,
gain,
portfolio_13,
ore_19,
act,
committee_8,
movement,
portfolio_5,
business,
founded,
tennessee,
kentucky,
holiday,
county_8,
blacklist_5,
food,
crash_11,
labor,
portfolio_8,
ore_14,
ore_16,
votes,
committee_3,
DOW JONES,
energy,
portfolio_14,
county_1,
crash_19,
cash,
culture,
justice,
blacklist_8,
firm,
water,
dow_jones_9,
dow_jones_16,
republican,
growth,
kitchen,
party,
ore_10,
illinois,
debt_9,
blacklist_1,
DOW_JONES_19,
consume,
dow_jones_12,
DOW_JONES_3,
portfolio_12,
debt_3,
stock market,
financial markets,
earnings,
political,
train,
nyse,
ore_9,
crash_8,
county_9,
crash_2,
case,
ore_2,
representatives,
profit,
environment,
house,
served,
ore_7,
senate,
crash_15,
default,
nasdaq,
transaction_10,
debt_20,
fond,
committee_12,
dow_jones_19,
debt_5,
freedom,
arts,
transaction_20,
court,
blacklist_18,
committee_2,
county_12,
investment,
portfolio_7,
blacklist_17,
debt_6,
blacklist_15,
fun,
police,
texas,
politics,
dow_jones_4,
development,
fine,
debt_14,
county_18,
gains,
short selling,
ore_11,
metals,
color,
dow_jones_18,
rare earths,
dow_jones_6,
transaction_14,
target_return,
president,
