feature,feature_score
lifestyle_18,-0.0013378170461847637
governor_12,-0.0014441054869697156
election_12,-0.0015866418533583503
representatives_10,-0.0016471260784114649
governor_11,-0.0016723424954715239
energy_20,-0.0017648401476912934
headlines_11,-0.0017695941384245685
million_16,-0.0017880993479781893
markets_19,-0.0019689135841993942
texas_3,-0.001977260214200016
rich_11,-0.002006299560755531
dow_jones_8,-0.002057435825006726
senate_7,-0.0021966730184244552
county_3,-0.00221276515592872
gain_14,-0.002230393509321682
college_3,-0.0023034995254090918
representatives_7,-0.0023441215089213597
growth_3,-0.002442866179182701
lifestyle_17,-0.00249090710073725
leverage_13,-0.0025011700248080302
carolina_20,-0.0026186609811917226
DOW_JONES_15,-0.002676982594796362
holiday_7,-0.002678964796964234
business_20,-0.0026853776304290424
transaction_13,-0.002750404905720716
republican_20,-0.0027624622090023365
debt_20,-0.002785925170111847
happy_10,-0.002871411867513429
forex_14,-0.0028833503138436132
investment_3,-0.0028986654464396413
police_3,-0.00290317860503293
profit_3,-0.0029373163563196194
banking_5,-0.002948018992318424
community_20,-0.003011476801992696
founded_15,-0.0030120031160507875
cash_6,-0.003022857864836093
financial_20,-0.0030486963851177108
elected_4,-0.0030757573992405305
vermont_4,-0.003102107677808852
technology_20,-0.0031108225532964886
court_20,-0.003132939118016509
chance_5,-0.0031404819749703884
cancer_20,-0.0031457863736539917
district_20,-0.0031979715959367105
law_20,-0.003199742021775731
services_20,-0.0032048707458670832
federal_20,-0.0032083504849073742
crisis_3,-0.003231504329703605
short_selling_13,-0.0032450651966274167
judge_13,-0.0032489011818021218
restaurant_7,-0.003251218118569499
happy_16,-0.0032583946410491118
money_18,-0.0032712777824378757
bubble_10,-0.003275093458446876
profit_9,-0.0032765104191293526
nyse_19,-0.0032784859155805977
security_20,-0.003284956714344767
DOW_JONES_8,-0.003302338984476627
political_20,-0.003306442674236143
DOW_JONES_3,-0.0033097756989277196
headlines_12,-0.0033422485188809416
fine_14,-0.003363128693407913
fine_12,-0.0033705341349164588
stocks_10,-0.0033971078535534717
act_20,-0.003401376193344308
election_19,-0.0034051605590885493
credit_20,-0.0034253609657287853
sell_4,-0.0034280641866141215
finance_3,-0.0034649296607275337
minister_4,-0.0034655964083528446
religion_17,-0.0034669528609857945
metals_12,-0.0034697671267650996
happy_13,-0.00347191332148431
government_1,-0.0034999927337216576
washington_20,-0.003512474655298048
invest_16,-0.003524423878350014
fine_5,-0.003524686555093526
gains_12,-0.0035288859199289037
trader_11,-0.0035292170907086804
development_20,-0.0035317961426275524
holiday_5,-0.0035324431234164066
politics_11,-0.0035343263246411017
bubble_13,-0.003548279376217334
judge_17,-0.0035719926648434485
revenue_1,-0.0035886756067200487
elections_19,-0.0035956096131054107
inc_20,-0.0036064641581474042
economy_17,-0.0036079118465115025
returns_19,-0.0036094385875888647
representatives_20,-0.0036096389622563676
crash_16,-0.003612999408271289
media_18,-0.003620441910433292
york_16,-0.0036242647703291554
happy_17,-0.0036323587302491854
cash_10,-0.0036509669300311743
hedge_14,-0.003661951472028302
social_20,-0.0036629434808364003
service_20,-0.003670056042355818
health_20,-0.0036734532877629846
trader_10,-0.0036785696906295852
york_7,-0.003689002494564453
labor_19,-0.003703271268381658
bank_8,-0.003704502028520751
fun_14,-0.0037082793933838508
carolina_9,-0.0037118837288491412
industry_17,-0.0037265932689234172
justice_13,-0.0037291179019162345
market_9,-0.003729772307247514
debt_10,-0.0037315478216785047
ohio_13,-0.0037352557204830992
sell_7,-0.003737522518426006
global_3,-0.0037433612997961998
markets_2,-0.0037486116866893406
politics_12,-0.003749398638867296
service_10,-0.003749483749210203
train_2,-0.0037497848160033655
short_selling_10,-0.0037575709842831095
washington_11,-0.0037595725205168185
freedom_10,-0.0037613072734992816
inflation_18,-0.0037658790865612523
college_8,-0.003767587655897242
bank_3,-0.003769783063235899
trader_9,-0.0037709550140239134
DOW_JONES_2,-0.0037759299617821317
union_7,-0.0037820469133198918
missouri_7,-0.00378937731961142
financial_8,-0.0037934753265697506
movement_16,-0.0037960453445362585
food_1,-0.003796177731453998
tennessee_17,-0.003799411917782436
portfolio_2,-0.0038020676470312377
metals_10,-0.0038036798224458045
BUY_AND_HOLD_4,-0.0038052013724808376
community_8,-0.003824011024442875
oil_19,-0.0038283543499857187
revenue_3,-0.003829350916242813
republican_11,-0.003831350685443757
credit_8,-0.003833508219519821
investment_7,-0.00383995946160689
cancer_17,-0.0038426928146723326
stats_2,-0.0038458444444873898
stats_5,-0.003850230249172881
committee_3,-0.0038512558426667233
products_20,-0.003856880349311509
energy_17,-0.003861243031022488
forex_12,-0.0038732013600056405
stocks_18,-0.0038795770859071377
county_8,-0.003885276709703245
council_10,-0.003891333986092449
district_3,-0.0038919311391924618
kentucky_4,-0.0038926686078388784
marriage_14,-0.0038948405393877117
headlines_1,-0.003896910271943188
portfolio_18,-0.0039017555156442008
ohio_15,-0.003906278511430683
texas_16,-0.0039067795463339165
elected_11,-0.003914784698428231
investment_20,-0.003914862218531878
bonds_2,-0.003920420800360369
management_20,-0.003921998747032918
gains_3,-0.003923330375787381
union_15,-0.003924799784105848
gain_15,-0.003928842793251142
leverage_14,-0.003929500711390266
missouri_10,-0.003934760947295413
ohio_16,-0.003937876449762556
ltd_5,-0.003945701188533568
health_3,-0.003946045933298214
financial_3,-0.003946199744056455
wisconsin_20,-0.003948738117953088
loss_6,-0.003951673977253445
chance_2,-0.00395170010772119
stats_17,-0.0039547214210582824
movement_2,-0.003956367654161452
returns_5,-0.003958568662560636
risk_15,-0.003962781653043912
housing_13,-0.0039645673647654475
energy_7,-0.003967138243520551
community_16,-0.0039678785600018255
pennsylvania_10,-0.003970755910906875
firm_15,-0.003972837228667259
revenue_20,-0.003975822437397314
stock_market_15,-0.003976405228754953
stocks_3,-0.003980549085276697
bonds_7,-0.003983822070930376
bonds_20,-0.003985671658471124
nasdaq_7,-0.003991000230553943
movement_14,-0.003992655380817722
management_10,-0.003997739794601163
founded_6,-0.004000570548407323
community_13,-0.004002778751627823
dow_jones_15,-0.004003093444209261
marriage_13,-0.004003981551960467
energy_8,-0.004010926916304713
housing_8,-0.0040126925590269645
hedge_18,-0.004013081496377469
community_3,-0.004014942653007392
industry_14,-0.004018301282107228
firm_5,-0.0040193805458863755
elections_12,-0.004019455559527629
oil_3,-0.004021608991398229
BUY_AND_HOLD_11,-0.004021643190512592
marketing_5,-0.00402488328618793
housing_5,-0.0040277003144747695
county_18,-0.004031704842373585
products_7,-0.004039620336081828
governor_15,-0.004040240683907603
ltd_10,-0.0040409337088419765
social_3,-0.0040422129596003
gains_19,-0.004043214538700446
fed_17,-0.004044036031619225
ceo_14,-0.004044920613505765
business_3,-0.004048133535567789
tennessee_7,-0.004049232141278147
money_20,-0.00405242172341802
debt_19,-0.004052535378829459
unemployment_9,-0.004053434952671653
court_3,-0.00405515014139215
chance_16,-0.0040559093527149145
movement_15,-0.00405939869909826
georgia_20,-0.004060911641910359
success_17,-0.004061528504355883
movie_5,-0.00406370851845439
forex_10,-0.0040651599191064754
tourism_17,-0.00407460106130042
council_14,-0.004075326372058452
court_10,-0.004075483735088814
party_5,-0.004077112158205165
economy_15,-0.004077975753343299
bank_13,-0.0040784248966826645
legal_13,-0.004080361192535342
project_7,-0.004081042804698054
ltd_19,-0.004082008509433433
economy_18,-0.004083357571934454
rich_20,-0.004084000908384922
energy_3,-0.0040841575532186035
college_20,-0.004087333065884646
service_8,-0.004091804423219969
technology_14,-0.0040938750426117165
judge_2,-0.0040946398270770065
financial_2,-0.004098243217823682
carolina_13,-0.004105454830192845
sell_13,-0.004105631500838802
gold_18,-0.004106454096462953
development_3,-0.0041070231251518095
hedge_12,-0.004107264686024847
law_16,-0.004108978360345161
technology_5,-0.0041092609026823325
committee_2,-0.004115186355774192
government_3,-0.004115493976852358
ministry_14,-0.004115975403178207
short_selling_12,-0.0041184385202772235
marriage_8,-0.00411985939089996
voters_15,-0.0041216294650245015
ceo_6,-0.0041217992286966655
short_selling_14,-0.004123510410551567
stats_4,-0.004123958306391074
management_7,-0.0041263193429219806
nasdaq_3,-0.004131238874360088
markets_15,-0.004133533010739043
corporation_3,-0.004135935263801249
holiday_11,-0.0041364176031772225
secretary_10,-0.004136630702503363
world_6,-0.004137675114711503
investment_2,-0.004138499525773986
federal_14,-0.004138851144406264
legal_20,-0.0041394894625101705
society_8,-0.004140046539060549
housing_17,-0.004140411023156232
global_16,-0.004140812292766083
governor_19,-0.004141414237235153
economics_10,-0.004141914036295269
washington_3,-0.004148221350156312
chance_18,-0.004153462133453312
cancer_1,-0.004154096620097225
party_12,-0.004159305092753996
illinois_17,-0.0041596923723610235
movement_12,-0.0041605152665159075
votes_5,-0.004160557481998417
crisis_2,-0.004163463183473715
federal_1,-0.004163949929148436
washington_13,-0.00416420325380118
trader_5,-0.004165913623645356
economic_1,-0.004171363197484901
president_13,-0.00417370443372247
republican_13,-0.0041743663585622984
fed_3,-0.004176155168701223
social_8,-0.004178635373437834
inflation_9,-0.004178886759396705
senate_15,-0.004179015317527335
crisis_4,-0.004180215714203061
finance_20,-0.004180652783775685
metals_5,-0.004182679894168717
federal_3,-0.004182901794476201
legal_5,-0.0041833752804551596
arts_16,-0.004183404157771653
million_14,-0.004185853438061415
corporation_20,-0.004189216702070242
police_2,-0.004189353269211793
office_3,-0.00419369265350078
BUY_AND_HOLD_20,-0.0041937754796055994
fed_12,-0.004195066337641551
invest_3,-0.004195790736611848
union_13,-0.004195941246067947
firm_6,-0.004197050405289881
arts_20,-0.00419712003374344
leverage_3,-0.0041979022985910944
credit_16,-0.004199286030163352
william_3,-0.004199589903783552
fun_10,-0.004203781065033651
tennessee_18,-0.004206574757692638
consume_10,-0.0042071166508055756
nasdaq_13,-0.004209157150986442
union_3,-0.004211707068043835
trader_18,-0.0042120522859830254
industry_4,-0.004213919049578551
headlines_3,-0.004214479950364081
community_5,-0.0042147164267204
dividend_8,-0.004214746643617606
kentucky_16,-0.0042158850408735345
credit_7,-0.004217257090285686
market_11,-0.0042186416670983995
million_19,-0.004219198536129043
served_13,-0.004221545283511619
government_20,-0.0042290166477105375
texas_20,-0.004230225721748404
movement_13,-0.0042331944697520775
leverage_15,-0.004234762801700209
massachusetts_14,-0.0042357259414867125
economics_3,-0.004235890387983177
ceo_10,-0.0042383767448208156
finance_5,-0.0042385253259636935
rich_12,-0.0042398667784161684
rich_10,-0.004240043470020294
law_8,-0.004243935943124754
firm_3,-0.004246543429229033
opportunity_20,-0.0042466415426141825
fine_9,-0.004247009275291513
million_12,-0.004249558416004362
credit_5,-0.004250592048339108
committee_5,-0.00425281360506693
bonds_10,-0.0042545109540397695
district_10,-0.004255699971106197
default_2,-0.004257266911591118
bank_20,-0.004257910965303302
short_selling_9,-0.004261582314073209
banking_13,-0.004264209959434639
development_8,-0.0042647142338976705
inflation_4,-0.004265027617528272
environment_15,-0.004266312769032621
case_13,-0.004267689534586361
banking_7,-0.004268377833306092
lifestyle_2,-0.004271880892863011
sell_16,-0.004275853684233
services_3,-0.004279081161838128
credit_13,-0.00428265765276552
forex_17,-0.004283341023585119
returns_15,-0.0042839307676502125
service_16,-0.004284062316807957
religion_1,-0.004284394573054517
travel_13,-0.004284668631771171
services_17,-0.004286107319110721
firm_19,-0.004290230864459921
gains_15,-0.004290647795962066
forex_15,-0.004292164594825154
served_15,-0.0042939814520235094
inflation_19,-0.0042940542134867424
forex_19,-0.004294165174391828
illinois_16,-0.004295728694820311
oil_5,-0.004296600510336823
corporation_10,-0.004297218831714966
profit_5,-0.00429765247886984
committee_6,-0.004297909596163297
ltd_7,-0.00429838578272772
industry_13,-0.004299950385665019
seats_16,-0.00430177900347628
housing_20,-0.0043025333797539035
vermont_15,-0.004308112701347055
gain_17,-0.004310754919894633
senate_12,-0.004311130261312468
texas_8,-0.00431294616443616
representatives_3,-0.004313708504847536
profit_17,-0.004314218154361127
party_7,-0.004314282711042283
health_10,-0.0043146395406165935
project_3,-0.004315012255524308
car_13,-0.004317297923658247
kitchen_13,-0.004317486012018268
million_11,-0.004317508742206266
transaction_14,-0.004318755280108255
energy_16,-0.004322375518118715
economic_14,-0.004323178041711162
community_7,-0.004323948572236591
union_8,-0.004325251948383202
lifestyle_10,-0.004325674863740603
firm_10,-0.00432606661054995
vermont_9,-0.004326125645749879
kitchen_18,-0.0043264116415062
bubble_3,-0.004326422323036305
missouri_3,-0.004326447538187006
banking_17,-0.004327983660870882
president_7,-0.0043332605866988946
religion_2,-0.004333310507969701
travel_8,-0.004343981828257837
legal_14,-0.004344629060981209
cancer_15,-0.004346021436585024
finance_1,-0.00434730322403698
technology_10,-0.004348426261205929
environment_1,-0.0043498933185708525
college_15,-0.004351196834088533
ceo_3,-0.004351507208324246
political_13,-0.004351933259773233
case_17,-0.004353940627355168
bank_16,-0.004354264400175545
gains_13,-0.004355194718289513
health_8,-0.004355601581293866
management_17,-0.004355723723697658
environment_6,-0.004357024266468645
minister_6,-0.004357526248360588
illinois_11,-0.004358643992923139
gold_8,-0.004359003979179122
happy_14,-0.004360680479697154
york_8,-0.0043610807949267414
democratic_15,-0.004362267932986596
transaction_8,-0.004364546729477459
college_16,-0.0043647377332630246
corporation_14,-0.004364922839839358
union_20,-0.00436562537277585
government_16,-0.004367649279020403
banking_1,-0.004369023240227277
business_1,-0.004369240575357369
holiday_1,-0.004370366831902772
default_14,-0.0043705342358368645
founded_11,-0.004370855850679556
invest_10,-0.004371440195730459
revenue_7,-0.0043715409488602084
train_9,-0.0043716921690464036
arts_17,-0.00437292034659067
industry_6,-0.004373239109641247
train_15,-0.004375105462722284
culture_9,-0.004375153947846178
environment_12,-0.004375922445114089
fun_15,-0.004376603823552316
happy_8,-0.004377711915138893
pennsylvania_7,-0.004378359324471148
happy_15,-0.004381324096528338
legal_16,-0.004384640168638776
revenue_2,-0.004384674464391192
fond_18,-0.0043854092536876
greed_2,-0.004385496177571846
arts_14,-0.004387169051227291
massachusetts_12,-0.004389197948698365
money_6,-0.004389379192605425
consumption_2,-0.004390272957418784
fine_15,-0.004390635463797654
war_14,-0.004391027938351599
office_20,-0.004393856845085686
house_12,-0.004394000451121416
tennessee_16,-0.004397427795922027
party_17,-0.0044008341315958655
tennessee_12,-0.0044015774456144015
BUY_AND_HOLD_19,-0.004402214455047982
texas_17,-0.0044022287467741835
security_14,-0.0044023200666933
political_11,-0.004402934295174132
debt_11,-0.0044032711287071095
markets_10,-0.004405210411437888
investment_8,-0.004405608766603697
served_2,-0.004406129537463954
community_17,-0.004409981670643481
stock_market_9,-0.004410309001825707
water_3,-0.004411530122793073
freedom_3,-0.004411675658660097
banking_19,-0.004411743885662856
president_9,-0.0044117639904114325
president_8,-0.004413447045819497
risk_1,-0.004413816273810656
travel_15,-0.004413990810113333
gains_18,-0.004415511364586821
votes_13,-0.004415955690511608
movie_10,-0.00441630413165317
washington_12,-0.004416697644121603
cash_18,-0.004416845560822535
default_13,-0.004417203126593883
court_8,-0.0044172328008842635
crash_4,-0.004419143626489386
service_13,-0.004420848979099068
office_17,-0.004423270846697092
washington_8,-0.004423330939094061
movie_16,-0.004423578375254755
firm_13,-0.004424270743049519
debt_13,-0.004424686384594656
massachusetts_17,-0.0044252864217456
war_20,-0.0044256852206743915
york_17,-0.004426730711941463
stocks_8,-0.004426991518318002
corporation_1,-0.004427087674085439
law_3,-0.0044283505762839235
act_12,-0.0044290281071947876
credit_15,-0.004431097888478219
money_7,-0.004432120596749578
opportunity_18,-0.004432207645757291
political_15,-0.004432319896147651
politics_15,-0.004432384486943564
environment_8,-0.004432642753283589
happy_5,-0.0044327279393455935
development_17,-0.004434780021685758
texas_15,-0.004435465528289817
stats_13,-0.004435874481733904
law_7,-0.004437061743094728
carolina_16,-0.0044384621841260016
environment_11,-0.004439200394242127
illinois_13,-0.004439543109735355
law_13,-0.004440509863370723
trader_14,-0.004443716943362519
development_14,-0.0044443656864249
minister_13,-0.004444788008349065
dividend_11,-0.004445541424297317
return_12,-0.004445562934775138
lifestyle_5,-0.004445609207666767
nasdaq_1,-0.004447557572377181
republican_17,-0.004449208052498666
management_14,-0.004449360719893813
home_4,-0.0044510753022108055
services_8,-0.0044516772674397355
minister_10,-0.0044529825682324995
metals_16,-0.0044531057191794735
county_20,-0.004454374320773202
representatives_8,-0.0044546936657329
short_sell_1,-0.004455105039661111
media_10,-0.004455662982148811
labor_8,-0.004455771039036538
consumption_17,-0.004456599554877783
housing_16,-0.004457317456232279
rights_14,-0.004457802688741563
world_7,-0.0044603840774537495
government_11,-0.004460399941132254
inflation_13,-0.004460826989639233
bubble_16,-0.004460840592657766
security_17,-0.004462994399063525
committee_17,-0.004463330752197137
color_14,-0.0044634749966468105
transaction_5,-0.004464816016112661
nyse_10,-0.004465520808333623
return_16,-0.004466459586041638
growth_2,-0.004467477353223037
rich_9,-0.004467722523295503
federal_17,-0.004468986507106009
global_5,-0.0044697780273402765
legal_11,-0.004471148625099142
cancer_7,-0.0044712905315059
legal_10,-0.004471311601632255
nyse_17,-0.004472151856120932
security_13,-0.004472312516890398
market_15,-0.004472487471806596
housing_2,-0.004474614738035299
society_1,-0.004475474409560443
federal_13,-0.004475605143449468
greed_13,-0.00447677297533029
law_14,-0.004476948437605333
companies_16,-0.004477222393819247
william_13,-0.004477433054833435
texas_2,-0.00447862153253924
markets_20,-0.004479182467983733
crisis_12,-0.0044792195861170555
finance_9,-0.004480351996138254
rare_earths_13,-0.00448195829703375
metals_20,-0.0044828265427190985
kentucky_5,-0.004483017304285175
financial_markets_13,-0.004483349500729905
county_6,-0.004483425926067941
derivatives_18,-0.004483693874184835
cash_15,-0.00448386606165585
garden_13,-0.004485162860607761
energy_5,-0.004487374016226453
management_16,-0.004487502154856671
inc_17,-0.00448976282617497
act_17,-0.004491118463252364
stock_market_3,-0.004491680989091695
products_13,-0.004491998165040712
tourism_14,-0.004492183228783464
greed_7,-0.00449257513875736
inc_10,-0.004494030349243117
security_2,-0.004494035487095216
nyse_8,-0.004494086772533467
food_13,-0.004494596385027627
success_14,-0.004495364879077179
media_13,-0.004495596730442886
inc_14,-0.004495613028430023
home_13,-0.004495779775367326
elected_12,-0.004496346175509669
massachusetts_16,-0.0044966981371528545
million_13,-0.004498474642636152
government_12,-0.004498887539748297
banking_16,-0.00449892807726604
short_selling_4,-0.004500802226799517
DOW_JONES_9,-0.004500909168656131
governor_16,-0.0045015812034508995
metals_14,-0.004501976514943972
court_1,-0.004504035032438703
service_3,-0.004505186827958063
legal_7,-0.004505234015085469
lifestyle_1,-0.004505579847680252
economic_20,-0.004506745312487936
loss_13,-0.004507051383038929
arts_5,-0.004508305486678532
money_5,-0.004508596802883624
governor_14,-0.00450884928480424
services_5,-0.004510075313159434
president_6,-0.0045107410698497444
movement_4,-0.004511270404107948
credit_3,-0.0045119517899584235
invest_15,-0.004512044426903628
culture_7,-0.0045125624449593674
loss_9,-0.004513804234886387
missouri_16,-0.004514347873907898
trader_2,-0.004516112861498089
party_3,-0.0045165707669176935
short_sell_13,-0.004516866711091016
business_8,-0.004516888344816094
house_13,-0.004517495166108598
derivatives_17,-0.00451814783553266
inc_13,-0.004518172404093734
security_3,-0.004518379423942442
profit_18,-0.004518863399255913
county_13,-0.0045191136116231375
short_selling_6,-0.004519973942648159
wisconsin_3,-0.004520053884663966
debt_17,-0.00452086612723932
travel_16,-0.0045221209517714465
college_1,-0.004523061519905091
massachusetts_10,-0.004523168017686885
william_5,-0.004523335724340183
earnings_3,-0.004523392615237909
government_17,-0.00452376264192611
hedge_7,-0.0045238068921420686
short_sell_14,-0.004524142582472845
arts_13,-0.00452433755404138
ohio_8,-0.004524585431239925
vermont_20,-0.004525003468441713
marketing_8,-0.00452532911844532
travel_3,-0.004525431156592097
wisconsin_1,-0.004525697545268592
texas_13,-0.004525814903114855
garden_14,-0.004526129790463518
buy_19,-0.0045266104278817165
global_11,-0.004526820323407499
crash_14,-0.004526989699251027
gain_16,-0.004527114068796134
firm_16,-0.004527125904241735
environment_10,-0.004527317187922986
holiday_17,-0.004528581300993473
holiday_4,-0.004528856587111596
BUY_AND_HOLD_15,-0.00452904077753844
carolina_11,-0.004529369950239515
district_16,-0.004531815170844689
marriage_11,-0.004532467499578452
case_14,-0.00453256007360654
wisconsin_4,-0.004534049191074541
wisconsin_13,-0.004534183033587147
buy_13,-0.004534935775338788
markets_16,-0.004535438955196147
economy_10,-0.004535473205760221
gold_5,-0.0045356203179889535
train_13,-0.004536520848065839
social_7,-0.004537579310646955
management_1,-0.0045377133094602895
democratic_20,-0.0045378292633849295
york_13,-0.004539189199357363
society_14,-0.0045399185247685155
technology_6,-0.004540731743053939
seats_3,-0.0045413172173618625
arts_10,-0.004541819887377563
housing_3,-0.004542336303191541
president_18,-0.004542697665271022
return_8,-0.0045448640488054744
consume_13,-0.004546740242477964
technology_13,-0.00454696088413169
council_7,-0.004547110340544269
firm_20,-0.004548238674751137
government_13,-0.004548364596668697
missouri_20,-0.004548757527773018
short_sell_9,-0.004549153667914618
ohio_10,-0.004549718053418461
fine_2,-0.004549929958862253
law_17,-0.004550694808912991
kitchen_3,-0.004551761732646842
culture_15,-0.004551856333438642
industry_15,-0.004552825965046292
companies_17,-0.004553806994310894
massachusetts_1,-0.004554467499901826
arts_3,-0.004554479543530143
restaurant_11,-0.004554611076410175
georgia_13,-0.0045546342172752665
water_13,-0.004554935852227104
default_7,-0.004555564007926782
william_1,-0.004555722496161629
portfolio_14,-0.004557818233699407
corporation_2,-0.004558661669547015
risk_3,-0.004558719823790458
economy_6,-0.004558995948514699
marketing_3,-0.0045594677145376124
banking_10,-0.0045597275246958445
tourism_11,-0.00456018815414132
senate_13,-0.004560202471083752
products_12,-0.004560308306770744
rights_13,-0.004560534424513119
illinois_5,-0.004560786961264629
products_2,-0.004562272170059533
voters_9,-0.004562416417029991
war_1,-0.004563240385576694
republican_7,-0.004563284642687337
money_13,-0.004563380379193261
revenue_9,-0.004563820315915601
business_5,-0.004563823070887607
chance_7,-0.0045639419046953345
consumption_10,-0.004564624086040881
gain_3,-0.004565118192634721
gold_13,-0.004565509006852042
loss_10,-0.004565763263997625
transaction_11,-0.004566355679636591
federal_15,-0.004566754221645208
labor_13,-0.0045673684347524056
cash_2,-0.004567449999943807
federal_2,-0.004567695753657741
law_1,-0.004568672829742581
society_10,-0.00456976151480466
virginia_19,-0.004570118115503274
color_13,-0.004570398453625257
county_15,-0.004571211797553554
color_17,-0.004571911149811592
revenue_13,-0.00457277051764231
water_15,-0.004573440741056323
party_6,-0.004573544691642462
war_2,-0.00457367869228964
crisis_13,-0.004574170239258634
case_3,-0.004574208068345009
culture_17,-0.0045766258694887926
products_11,-0.004580833298826614
washington_6,-0.004581076521469196
york_9,-0.004581252374158828
nasdaq_8,-0.004581385897354284
minister_11,-0.004581503804212827
missouri_14,-0.004581540238300197
