feature,feature_score
markets_2,0.00869799999398806
lifestyle_8,0.005208104092692345
finance_11,0.004800092754151564
stock_market_11,0.0047704160186558655
committee_12,0.0035546780869339712
investment_11,0.003221106413435759
color_1,0.003162815328849655
firm_11,0.0028284584162837634
financial_11,0.0026654785977502813
election_9,0.00255913856756933
credit_11,0.002185873858969023
business_11,0.002080215495412885
religion_3,0.001997401975385915
security_11,0.0018285604534853395
happy_15,0.0017558203115834782
office_11,0.001470474689002832
risk_1,0.0014620088534467613
services_11,0.001225356060814331
union_11,0.0011672590992228172
gain_16,0.001086575767037279
energy_11,0.0010820186649522334
service_11,0.0010771829736677453
stocks_10,0.0010423577827876728
cancer_11,0.0010193255442513705
opportunity_1,0.0009602662854289124
default_16,0.0009493132638910496
products_11,0.0009305625927495508
economics_6,0.0009102178702582453
management_11,0.000852847180560956
corporation_11,0.0006336040567885392
party_10,0.0004571148176571116
vermont_11,0.0004173800482385914
ohio_11,0.000373470719445379
federal_11,0.0003020885264434003
DOW_JONES_12,0.00028326113430792165
ltd_11,0.00027830639891794905
chance_12,0.0001933224592262972
seats_16,0.0001040670812141986
housing_12,7.472787314917184e-05
war_3,5.242146209691878e-05
water_11,2.7687685355215486e-05
dividend_9,-1.3491689516698102e-05
washington_11,-0.00013344248562758844
oil_6,-0.00022156937731618865
project_11,-0.00022789416100148506
banking_11,-0.00023685627926122165
inc_11,-0.0002574602162649153
law_11,-0.00030867702340364733
court_11,-0.00030957182840098965
county_11,-0.000414282413603595
war_14,-0.00047918849275954136
health_11,-0.0006484842480570796
war_13,-0.0006585534684515393
train_1,-0.0007288414911198693
project_15,-0.0007296258984248238
voters_10,-0.0007558755946905471
community_11,-0.0008045873314508345
governor_9,-0.0008112006896918933
stock_market_12,-0.0008159564880253045
risk_11,-0.0008385873273895284
revenue_11,-0.000878782265979372
bank_11,-0.0009134664237422152
york_11,-0.0009268620415110229
housing_11,-0.0009671956564135442
metals_12,-0.0010631842317322838
hedge_3,-0.0011504313528674982
secretary_3,-0.0011751582858818166
gain_8,-0.0011820833054983827
markets_8,-0.0012103637289135217
members_19,-0.0012336631125569263
minister_20,-0.001268911960098329
media_12,-0.0013339329171130564
pennsylvania_12,-0.0013384723146159683
judge_11,-0.0013720618670449935
wisconsin_10,-0.0013903295192418507
religion_7,-0.0014642066193982562
judge_19,-0.0014676794257424408
default_6,-0.0014880821205481398
environment_17,-0.001489175835720924
DOW_JONES_10,-0.001501303812952437
massachusetts_11,-0.001549114696752074
movement_2,-0.001563627005266932
holiday_6,-0.0015794467184786498
companies_11,-0.0015940953009845327
restaurant_17,-0.0016155386949596728
freedom_12,-0.0016358338200787026
politics_7,-0.0016475535545177554
train_12,-0.0017066349850685114
returns_7,-0.0017316427687250834
political_3,-0.0017931036655850718
health_12,-0.0017958625456628407
unemployment_10,-0.001802591305132406
markets_13,-0.00180800647554622
founded_11,-0.0018283995133137499
culture_7,-0.0018613107593913104
money_20,-0.0018791154804270517
development_11,-0.0018967843284931397
ltd_17,-0.0019060235607291532
district_11,-0.001907487567830457
president_7,-0.0019093816756010407
vermont_12,-0.0019164568570445573
marketing_11,-0.0019194107119705484
crash_18,-0.0019237670242871596
banking_2,-0.001941167858145021
bubble_2,-0.0019653192260676634
markets_4,-0.001972986266316812
georgia_17,-0.002025768257172866
minister_6,-0.002108560372155499
dow_jones_12,-0.002135647062492807
william_2,-0.002152636075301806
money_5,-0.002165247046458396
nyse_6,-0.0021998912451075547
war_12,-0.002201783755190867
media_3,-0.0022345991684824982
leverage_1,-0.002237116063819622
economy_1,-0.002249544633079448
project_12,-0.002309020895593461
management_12,-0.002318642224989076
travel_12,-0.0024144273026142525
oil_7,-0.002440419014772699
global_11,-0.00244433617402664
food_4,-0.002450040208509874
oil_5,-0.0025697974948177605
social_11,-0.0025944423060938913
movie_11,-0.0026040177027552456
kentucky_10,-0.0026509105384271868
fed_4,-0.0026560217190962467
companies_17,-0.002659890063280557
dow_jones_10,-0.0026685879886800823
leverage_20,-0.0027072642687422156
lifestyle_9,-0.0027481713128286954
georgia_16,-0.002779789405187372
money_19,-0.00278416550526579
buy_12,-0.002813023926272118
rich_9,-0.002825250285608938
war_11,-0.002830073594541105
marriage_14,-0.00284138698453571
media_10,-0.002841900275709319
garden_11,-0.0028524354999538426
war_6,-0.002901970864737935
society_11,-0.002921941520832849
justice_1,-0.0029394912384616
georgia_11,-0.003016257244715992
world_17,-0.00307529037895784
debt_11,-0.0030886955919311233
travel_11,-0.003111799306054608
office_17,-0.003125313433776755
cancer_12,-0.003132720885084761
banking_15,-0.003159371674182876
representatives_19,-0.003202715047053428
georgia_1,-0.0032141644516400667
fun_7,-0.0032329650460147796
council_7,-0.0032384625195064575
economy_5,-0.003239179449265128
act_11,-0.0032472879913635786
ceo_11,-0.00325580342732259
business_12,-0.0032635077082672883
revenue_2,-0.0033112271188203033
vermont_2,-0.00331354405239892
loss_1,-0.003347048175548628
returns_16,-0.0033581700037984994
tennessee_11,-0.003371692966362261
legal_1,-0.003374625199421133
economic_16,-0.0034015902004446595
committee_11,-0.00340844269624605
stock_market_6,-0.0034161347261846718
labor_3,-0.0034193889315786486
markets_14,-0.0034263013637503502
wisconsin_1,-0.0034301055939521376
cash_4,-0.0034367550997226326
hedge_5,-0.0034586881664229628
money_4,-0.0034799724337686968
texas_11,-0.003492744313519869
risk_18,-0.0035329072940990746
war_9,-0.0035398422503512884
nasdaq_4,-0.0035437287365446936
default_17,-0.0035615740286097488
hedge_16,-0.0035678613553828285
sell_3,-0.00358030786148269
secretary_5,-0.0035895327181217017
crisis_11,-0.003611707957312049
freedom_16,-0.003631451916000139
oil_12,-0.00363641161266155
products_13,-0.003660477912379623
world_11,-0.0036648111198196885
nasdaq_10,-0.0036859124129474895
oil_11,-0.0036949981010758527
opportunity_5,-0.0037036610029200336
metals_13,-0.0037071777238643746
fed_3,-0.003709912417718719
fun_1,-0.003722266243267458
lifestyle_2,-0.0037319364299938764
debt_19,-0.003738989381368718
technology_4,-0.0037714172258019652
judge_4,-0.0037841653569898213
judge_10,-0.0038010435785025497
social_17,-0.0038101065702456525
financial_4,-0.0038162770984335958
development_13,-0.0038219866614797927
election_10,-0.0038389696703426735
democratic_19,-0.003854776489581835
crisis_7,-0.0038775261029080133
business_4,-0.003887922936445376
crash_1,-0.0038990752683837116
ltd_15,-0.003913745768032562
district_12,-0.003916102981491432
opportunity_3,-0.003920918523826633
society_4,-0.0039338970111882695
founded_4,-0.003934065045903612
bubble_13,-0.003937772307607013
million_8,-0.003943893402945586
world_8,-0.003965559575849764
