feature,feature_score
movie_19,0.003966605412520386
holiday_16,0.003914474795613909
hedge_3,0.002829021485198413
freedom_17,0.002483731693375213
industry_5,0.002241718460985154
crisis_17,0.0021506348284914267
nyse_20,0.0019258268733813866
leverage_9,0.0017350081565933762
republican_20,0.001715909453246689
companies_5,0.0016249108347181184
financial_10,0.0015917762407971826
fed_10,0.0015444391102158895
movie_18,0.0015353306002568346
politics_3,0.0013932195974193594
finance_10,0.0013931870948930448
stock_market_20,0.0013723935080375061
council_19,0.0013456474871611722
buy_5,0.001342286815565963
food_1,0.001323452904275313
stock_market_10,0.0012841550944217462
president_19,0.0012414490662941535
forex_9,0.0012410084697242363
fun_10,0.001238495926280736
food_18,0.0011788682588068644
bank_10,0.0011655528791599367
members_6,0.0010059329999413836
ore_11,0.0009928994141479297
home_9,0.00098019288910165
lifestyle_5,0.0009121909268672068
cancer_5,0.00090720130904558
served_13,0.0009054902391516295
headlines_10,0.0008828723448033093
headlines_5,0.000880308828855414
freedom_10,0.0008628004630026664
stock_market_16,0.0008559062269087647
project_4,0.0008391700162626803
car_9,0.0007952986746660118
corporation_5,0.0007499609422744636
movie_5,0.0007298089276621012
hedge_11,0.000728266743983097
secretary_19,0.0007173101069223309
elected_9,0.0006862557416383419
committee_5,0.000676810440675446
war_17,0.0006490474507675703
crisis_1,0.0006477270917738976
ministry_12,0.0006274091059109033
money_2,0.0006106828693008826
food_20,0.0006103841468027893
happy_4,0.0005972487622317724
office_10,0.0005920683756506006
economic_3,0.0005856356675528973
gold_11,0.0005409876527918911
products_19,0.0005382828844750165
buy_19,0.0005363267902686486
movie_10,0.0005244066663474322
returns_6,0.0005168491634829353
freedom_9,0.0005162278488234806
ceo_5,0.0005053989667187286
chance_18,0.0004924039998627893
fun_5,0.0004679107669508964
fed_18,0.00045285692272898357
founded_6,0.0004506917332475213
house_18,0.0004472116730618314
dividend_10,0.0004405905212033767
stock_market_15,0.0004371283784524671
leverage_13,0.00042884960064724085
religion_1,0.0004270529783542587
service_10,0.00041191049451525517
ohio_19,0.00038726595405786935
development_5,0.0003698568364044252
buy_10,0.0003387269005732385
energy_5,0.00032421078550159965
growth_5,0.0003183742339132545
opportunity_13,0.0003176388605050873
served_14,0.00029750119675939766
county_19,0.0002974238040375665
court_5,0.0002862283019881673
technology_5,0.0002856792893336513
republican_7,0.0002832753695275247
markets_20,0.00027958989515990406
county_5,0.00027616804067254197
war_1,0.0002719811080565737
services_5,0.0002678296675042269
council_5,0.00025989796656595844
ceo_14,0.00024990082988560756
security_5,0.0002444261835623518
bubble_12,0.0002314552807656689
movement_2,0.00019922396622922277
project_1,0.00019375420959468758
union_10,0.00016801684334837307
ore_12,0.00016553254883893142
global_10,0.00016390736484648283
elections_2,0.00015346039234829246
return_13,0.00013409299284110608
senate_5,0.00012788843051656507
loss_12,9.50254333492051e-05
risk_19,6.989380128266109e-05
ltd_10,5.361652694002572e-05
train_8,5.224264699297265e-05
gain_11,4.221280493050816e-05
district_19,2.36943690793856e-05
conflict_10,8.882599290349624e-06
act_5,6.461178624661557e-06
arts_3,-2.119950388328462e-05
color_12,-3.223407584871385e-05
crash_20,-3.744012506987637e-05
social_10,-4.693088533829215e-05
gold_6,-4.8946555462547894e-05
health_5,-5.426535577046643e-05
ceo_13,-6.265564506693355e-05
political_1,-6.379873443593809e-05
opportunity_10,-6.734039352804811e-05
federal_5,-7.209007478654605e-05
technology_10,-7.391441624986506e-05
sell_19,-7.604305453967619e-05
cash_6,-8.825606217897076e-05
security_10,-8.875057348827209e-05
movement_5,-9.67644482768204e-05
gains_8,-0.00010091924945623276
ore_7,-0.00010532978844346452
leverage_19,-0.00010598446809788609
founded_11,-0.00010798754020679979
washington_2,-0.00011878732728791697
leverage_8,-0.00011979260059475915
arts_4,-0.00012723199456632361
business_10,-0.00012781065950613347
economic_4,-0.00013574605401340812
rich_2,-0.00015137294653249088
office_5,-0.00015249404715191872
default_6,-0.00015434257232642689
conflict_20,-0.00015552480087601683
metals_10,-0.00015695432881277505
law_5,-0.00015926257478600104
council_10,-0.00016010547333527024
religion_6,-0.00016344604519507032
party_6,-0.0001635701369054221
earnings_3,-0.0001692810966848368
DOW_JONES_7,-0.00017753067023222878
corporation_10,-0.00017789038280366932
kentucky_5,-0.00018129545667266989
votes_19,-0.00018275940646166332
home_11,-0.00018284726021930986
voters_2,-0.00018727900686970055
political_5,-0.0001935571061093544
short_selling_12,-0.00019652959873543984
