feature,feature_score
ministry_13,-0.733545600094786
ministry_9,-0.7571279350114377
unemployment_7,-0.7949408114636101
unemployment_16,-0.8086883045704845
ministry_10,-0.8198916845448732
ministry_14,-0.8302319864084444
lifestyle_5,-0.8315855249601224
unemployment_11,-0.8368658618107148
unemployment_2,-0.8611487916612092
lifestyle_6,-0.8657314795800918
unemployment_17,-0.8680737710390799
unemployment_13,-0.9160652342364124
ceo_1,-0.9197774204987306
unemployment_14,-0.9216242066459774
unemployment_19,-0.9216662995870262
investment_2,-0.943346689940989
global_1,-0.9499312975400862
lifestyle_8,-0.9503263179727502
conflict_1,-0.9509451240912279
unemployment_18,-0.9513856783605469
restaurant_5,-0.957107089281515
unemployment_6,-0.9615400632037334
service_5,-0.9640426833096374
economics_1,-0.9644246152313046
house_5,-0.9646418740653878
ltd_5,-0.9647542565260281
union_1,-0.9648646951157162
bonds_2,-0.965985993038094
debt_1,-0.9663970393135605
headlines_1,-0.967872890309199
ltd_1,-0.9685763701901221
service_2,-0.9687235269143979
color_1,-0.9687643007701524
ministry_12,-0.9698114602209404
county_1,-0.9698682271669729
services_1,-0.9700860206874179
default_6,-0.9701451588672765
law_1,-0.9702959102223254
district_1,-0.9703638054359771
justice_1,-0.9706847220528655
security_1,-0.9715881012574303
community_1,-0.9716442891258474
companies_1,-0.9728714847326767
union_2,-0.9729939169305772
william_3,-0.9731983819433758
business_1,-0.9743553050027455
freedom_1,-0.9745734957183243
virginia_1,-0.9754971492816911
party_1,-0.9755283792959354
garden_1,-0.9757184786959577
legal_1,-0.9762849865203164
office_2,-0.9764205426017007
management_1,-0.9770631654234432
seats_2,-0.9771900722693246
portfolio_1,-0.9772381550756883
social_5,-0.9776319572900831
court_1,-0.9776748251206033
kentucky_1,-0.9779525654323284
finance_1,-0.9779869798344839
ltd_10,-0.97803737564467
nyse_2,-0.9786889427483192
case_1,-0.9787849110605835
vermont_2,-0.9791708205252292
seats_1,-0.9796461031272952
elected_1,-0.9798217648721582
served_1,-0.9804137817678411
government_1,-0.9805112663854938
lifestyle_2,-0.9809535216463736
industry_1,-0.9811040470196296
short_selling_1,-0.9811397257535814
short_sell_1,-0.9811397257535814
leverage_1,-0.9811397257535814
greed_1,-0.9811397257535814
rare_earths_1,-0.9811397257535814
consume_1,-0.9811397257535814
derivatives_1,-0.9811397257535814
financial_markets_1,-0.9811397257535814
forex_1,-0.9811397257535814
BUY_AND_HOLD_1,-0.9811397257535814
gains_1,-0.9811624779602447
politics_1,-0.9812533131439892
ltd_4,-0.9815739997580868
society_1,-0.9816431516861283
ministry_1,-0.9818428358381235
million_1,-0.9820671916757217
legal_3,-0.982283878053422
corporation_1,-0.98233788425463
dividend_1,-0.9823682113646296
rights_1,-0.9823758069295538
profit_1,-0.9824116567572944
county_2,-0.9825159179668805
financial_1,-0.9826512090326492
unemployment_9,-0.9828468625888828
buy_1,-0.9829434962110897
pennsylvania_1,-0.983073900978708
inflation_3,-0.9831667366223307
virginia_3,-0.9832037001507679
illinois_1,-0.9832288649048906
DOW_JONES_1,-0.9834540449103637
economics_3,-0.9835189433734317
republican_1,-0.9835370055589963
tourism_1,-0.9836333945884548
nasdaq_1,-0.9837683518596332
marketing_1,-0.9840168753120999
marketing_4,-0.984609716788859
crash_1,-0.9846266113516824
ore_1,-0.9848496183787845
members_1,-0.9849996071592715
ring_1,-0.9850945534234578
opportunity_1,-0.9851816600815774
dow_jones_1,-0.985202986782326
vermont_1,-0.985337340787904
cash_4,-0.9854653470700658
crash_4,-0.9861032725771139
law_5,-0.986117419921159
house_1,-0.9864660696223051
movie_1,-0.9864936748072644
minister_1,-0.9865240008335041
party_2,-0.9867469333323744
ministry_3,-0.986878691688382
credit_1,-0.9869501888539624
movement_1,-0.9871929267586991
inc_1,-0.987619870353796
fond_1,-0.9882295403786703
security_3,-0.9882606560194928
ore_3,-0.9883714372033179
earnings_2,-0.9886729852821501
georgia_1,-0.9887287902684999
rich_1,-0.9887332753165232
restaurant_1,-0.9889535879117328
seats_5,-0.9890996791798272
