feature,feature_score
stocks_17,-0.009297175136447322
global_6,-0.009812328243340529
bank_16,-0.010091691186024843
nyse_10,-0.010142266159429347
restaurant_4,-0.010306085665742936
representatives_10,-0.01032457719334312
founded_9,-0.010650039811862522
kitchen_16,-0.010835028363498722
nasdaq_16,-0.011124713179671475
finance_16,-0.01119111033383966
energy_10,-0.01194256608815789
nasdaq_8,-0.011954356907654718
million_8,-0.01197760039489113
garden_4,-0.012094666850244008
crash_14,-0.012114143637867069
founded_20,-0.012197840557905914
consumption_5,-0.012333727854588795
debt_17,-0.012451855594650008
happy_12,-0.012496040895530202
forex_13,-0.012513927799303558
nyse_16,-0.012526576498563924
ore_16,-0.012535971116130229
leverage_17,-0.012536441116830499
founded_14,-0.012610328977091356
fed_16,-0.012625315933161185
fun_4,-0.012718362126197879
credit_16,-0.012752286723048668
minister_19,-0.012779117041869759
buy_16,-0.012810158048431153
committee_16,-0.012854367836283132
court_16,-0.012939062907715359
movie_4,-0.013072080143020592
finance_10,-0.013088389980188242
transaction_19,-0.013143541345843057
headlines_18,-0.013247570166109002
founded_8,-0.013371408892578974
markets_4,-0.013394885381593303
global_10,-0.013480218612543981
financial_16,-0.013486154836254326
opportunity_1,-0.013509934560892622
inc_10,-0.013520066210212756
million_13,-0.013531962427964662
nyse_2,-0.013558490387143718
district_10,-0.013562420953780662
dow_jones_11,-0.013593781958175599
energy_16,-0.013596825162856496
trader_10,-0.013615575512092092
dow_jones_8,-0.013648855075928789
kitchen_10,-0.01371030588197637
ore_15,-0.013712756463450049
dow_jones_14,-0.013742923358562597
union_16,-0.013747689939099939
office_16,-0.013754166452144601
committee_5,-0.01378083327990336
court_10,-0.013795785178376119
crisis_19,-0.013802462223980783
texas_10,-0.013809086874942
services_10,-0.013817189104994387
project_2,-0.01381862871024464
firm_1,-0.013836117820702399
home_5,-0.013853491183220056
economic_10,-0.013859262876496681
movie_6,-0.01390780756557095
profit_16,-0.013917163024540002
sell_14,-0.013941888226352095
derivatives_5,-0.013970865441306657
kentucky_2,-0.013972849440438218
federal_10,-0.013983526601956698
legal_10,-0.013999184797208297
nasdaq_5,-0.014000595848825115
growth_10,-0.014018054697069116
nasdaq_10,-0.014021333545648496
market_4,-0.014023431712079936
corporation_10,-0.014035619330314875
earnings_1,-0.014036662233738183
crash_16,-0.014043289307584628
companies_10,-0.014046268795876027
housing_6,-0.014050088941295825
ltd_9,-0.014086922086026887
restaurant_20,-0.01409216790306127
debt_4,-0.014092625883362575
conflict_20,-0.014098369068431005
movie_7,-0.014108384268761464
success_1,-0.01411195524258051
justice_16,-0.014123345889964112
fed_10,-0.014138097947330808
market_5,-0.014145574466704058
fond_2,-0.014147680911029937
ring_4,-0.014148123019944637
firm_10,-0.014152312749655272
political_1,-0.014162964079643925
bonds_6,-0.014177155926892638
fun_16,-0.014190470640369157
cash_13,-0.014198576735842261
religion_11,-0.014210617534057413
metals_7,-0.0142114125871033
william_5,-0.014215917902470943
nasdaq_3,-0.01421714266933356
portfolio_3,-0.01425199324415245
council_16,-0.014253718963191475
firm_19,-0.014258389284562512
banking_10,-0.014262598664579618
security_16,-0.0142703496965364
house_4,-0.01428507210808554
car_5,-0.014285133122486826
service_16,-0.014315700750370853
washington_10,-0.0143167326320216
forex_1,-0.014359631952078988
financial_10,-0.014382031406588914
inc_16,-0.014392958520246002
house_16,-0.014410226857236053
opportunity_11,-0.01444192818751766
movement_10,-0.014447966738451811
union_10,-0.014450768250850121
credit_10,-0.014451521862816974
bank_11,-0.014452427624759779
elected_14,-0.014459095910788866
services_16,-0.014464159285686696
bubble_20,-0.014479264443117978
conflict_6,-0.014489751850293376
served_4,-0.014492394968522237
federal_16,-0.014509479879916243
present_4,-0.014515334145858483
founded_10,-0.01451750317127709
unemployment_16,-0.014522832764150251
consumption_10,-0.014540847483169129
business_10,-0.014543190240888081
republican_6,-0.014543770628345642
social_16,-0.01454398503091403
stats_12,-0.014545741757413789
garden_12,-0.014557486866444447
gold_14,-0.014558910913278966
democratic_13,-0.014564322436570775
technology_10,-0.014578520400046192
stats_17,-0.014579881024754982
earnings_6,-0.01458191415029042
car_14,-0.014617990798170366
car_4,-0.014623717411715998
cash_5,-0.014630271698193842
management_10,-0.014651745128197047
sell_16,-0.014662958591161668
members_12,-0.014677013803150497
chance_10,-0.01468643299728043
health_10,-0.014693613583792042
bank_10,-0.01470588356466771
crisis_10,-0.014710461965893939
portfolio_1,-0.0147149857527487
gain_5,-0.01472031371700635
ore_17,-0.014723583851575128
government_10,-0.014726878343859062
economic_5,-0.014740853827903178
bubble_12,-0.01474926893226498
markets_12,-0.014750389688121502
dow_jones_16,-0.014758741351888927
judge_10,-0.014773253943754238
arts_11,-0.014774260421711972
development_10,-0.014797898283629785
legal_6,-0.014798513981374883
texas_2,-0.014807150177405304
conflict_4,-0.014814491483697578
marketing_10,-0.01482267359100271
gains_2,-0.014824654655506775
ceo_9,-0.01483674883056758
leverage_14,-0.014837035982719193
religion_17,-0.014861606036286145
community_16,-0.014864025696421156
members_11,-0.014865517404908157
movie_12,-0.014897782278947091
management_16,-0.01490529025213414
housing_11,-0.014913597192237792
virginia_10,-0.014914463854737292
stock_market_9,-0.01491446741357747
invest_7,-0.014929769399900294
party_12,-0.014930409367388476
law_10,-0.014945659943832568
profit_4,-0.014949748958446696
world_4,-0.014954729513404619
committee_7,-0.014957308591807727
ceo_2,-0.014957892199370914
stats_8,-0.01496978708031076
movie_10,-0.014971088851635627
garden_16,-0.014974050607437972
holiday_5,-0.01498147749227623
stats_18,-0.015007738178690255
missouri_10,-0.015015181601326843
global_16,-0.015015809842078554
kentucky_5,-0.01501621116898182
DOW_JONES_6,-0.015043356859515012
tennessee_10,-0.015048494703592374
bubble_16,-0.015049954899224005
elected_19,-0.015051395031743953
kentucky_6,-0.015066036216478396
loss_6,-0.015085351050054863
