feature,feature_score
government_6,0.011368181653022159
senate_15,0.0072947097585135175
politics_6,0.00648567118515857
economy_14,0.0063105391164469
corporation_6,0.004599763961042757
trader_5,0.003963744252685486
house_6,0.0029099019100049307
dow_jones_1,0.0026553174895688203
housing_4,0.002475342759201493
risk_18,0.0023654918587517225
development_6,0.0019238959545189172
tennessee_17,0.0018368326340637564
energy_6,0.0017182118229810417
court_6,0.0016015382287212665
law_6,0.0015230966220537213
products_6,0.0014539267827719416
risk_14,0.001403636406050368
revenue_6,0.0011627833167715095
holiday_15,0.0011437157341604553
world_13,0.0011335280729005248
management_6,0.001020938238469138
virginia_18,0.000746592039176841
DOW_JONES_1,0.0006333600467433254
economics_6,0.0004754196317408699
sell_18,0.0004147007335655761
government_11,0.0003712656842431494
movie_6,0.00033765419228590774
act_11,5.764476568279608e-05
committee_14,5.1366750925052604e-05
opportunity_12,4.7070258135328835e-05
water_6,-0.00016783488071694385
debt_15,-0.0004609751384729632
earnings_6,-0.000507200578529865
blacklist_6,-0.0006782514248151239
culture_6,-0.0007901359733899493
carolina_14,-0.0008351508320379563
business_6,-0.0008965424101755381
security_6,-0.0009525877288433015
act_6,-0.0010181798457777446
restaurant_6,-0.0010342843046077022
technology_6,-0.0010633104114896597
bonds_14,-0.0011048585278707224
project_11,-0.0011592170291759186
political_14,-0.0011765267201107933
cancer_6,-0.0012588784494255156
technology_4,-0.0014009501955368985
health_6,-0.0014361592634379195
holiday_10,-0.0015270867439377111
inc_6,-0.0015762150343900272
bubble_12,-0.0015967393796388451
stats_10,-0.0016287903909187663
rights_6,-0.0017739049797777628
car_19,-0.0017821571426317462
markets_12,-0.001799759715108884
earnings_11,-0.0018031305997641355
finance_9,-0.001832954833005318
carolina_7,-0.0018895191093629693
social_6,-0.0019296270743468958
food_5,-0.0021637505777097445
banking_20,-0.0021688144868539537
opportunity_5,-0.0021801348014630186
district_6,-0.0021820742462414387
county_6,-0.002376972095882457
holiday_9,-0.00242731396261493
ceo_6,-0.002435107659053948
services_6,-0.002561651738661741
economics_5,-0.002581370449828113
elections_13,-0.0026099770664619105
corporation_4,-0.0026148913832352515
bonds_17,-0.0026537124953843307
garden_11,-0.002706873581654845
party_13,-0.002714694885693558
media_6,-0.0028316479772043436
technology_1,-0.002836452494741115
ltd_5,-0.002854171767611313
energy_4,-0.002856747206860599
lifestyle_5,-0.002872203241216642
portfolio_8,-0.0030060177667568856
success_20,-0.0031194281975674754
companies_6,-0.0031752817207146844
debt_10,-0.003221971042302596
ohio_16,-0.0032491070810159338
arts_15,-0.0032811916375294235
william_15,-0.0033202183701357634
buy_4,-0.0033832391303839416
industry_17,-0.0034347448692634507
default_3,-0.0034547625375578985
carolina_18,-0.0034715373759545364
kitchen_11,-0.0034841401963911834
revenue_11,-0.0034945108527187465
project_5,-0.0036313400359635705
kitchen_17,-0.0036526478067461453
hedge_14,-0.0036853749691151184
services_4,-0.0037524337823457545
return_5,-0.003929777683850522
rich_6,-0.003949049671894777
marketing_4,-0.003986511729440511
health_4,-0.003998104348392562
success_18,-0.004003576897490357
community_6,-0.004026329148228402
arts_17,-0.004072634947191988
holiday_16,-0.00409377824000956
politics_11,-0.004126181279932828
return_6,-0.0041546354427292485
media_4,-0.0041613622064819115
committee_16,-0.004204947158313899
wisconsin_18,-0.004210195985398668
companies_4,-0.004213442856980243
case_11,-0.0042278841780211355
firm_15,-0.004244711905095988
fine_15,-0.004248812256878942
economics_4,-0.004266982829904698
travel_13,-0.004267920899084521
marketing_10,-0.004284095480188155
federal_6,-0.004290665614283551
car_11,-0.00429289345258439
federal_18,-0.004318637603729814
water_5,-0.004321609493767564
office_6,-0.004329567958723723
train_6,-0.004352381058715382
oil_17,-0.004361028719489823
finance_2,-0.004421671418847706
kentucky_1,-0.004436540344402972
industry_11,-0.004462198489895708
pennsylvania_15,-0.004469905847962963
vermont_13,-0.004474884937147183
blacklist_12,-0.004476723081147327
credit_6,-0.004508883306009315
ohio_6,-0.004527446307398386
default_12,-0.004527726292269207
bank_4,-0.004533206399902179
success_14,-0.004556784051277107
garden_6,-0.004564543322894554
court_4,-0.004569570888664121
georgia_16,-0.004612270594098411
illinois_12,-0.004621159637800787
social_4,-0.0046259736111387674
garden_4,-0.004674773824007228
conflict_11,-0.004697235138911027
products_11,-0.0047049882621946985
restaurant_5,-0.004706028529277239
default_17,-0.004724348206402174
movie_4,-0.004743753715206389
finance_6,-0.004758902178240843
stats_20,-0.004776709073526853
conflict_5,-0.004785247861631081
massachusetts_1,-0.004830484922622858
buy_16,-0.004835133809467429
kitchen_4,-0.00483983836567452
firm_12,-0.004864228563704165
rich_14,-0.004904090157966445
tennessee_15,-0.004916272462750127
travel_15,-0.00492730263261183
crisis_6,-0.004951625693821881
act_2,-0.004953355885296174
county_5,-0.004965922789819599
buy_3,-0.004973915635436321
party_5,-0.004976635009674046
growth_6,-0.005019405318965409
banking_17,-0.00503775645956146
nyse_9,-0.005043024403201035
politics_1,-0.005073023124069343
firm_17,-0.0050879106706103626
earnings_5,-0.005088959061644527
business_4,-0.005108221811708713
risk_3,-0.005118183385544817
conflict_6,-0.005121160905298705
returns_20,-0.0051212211140770235
office_4,-0.005124929612651941
tennessee_19,-0.005127284201847581
environment_4,-0.005131606277254308
environment_6,-0.005149237353347558
lifestyle_16,-0.0051619225133134
law_5,-0.00516391850288882
car_1,-0.005174521664800991
conflict_2,-0.005176452935631915
lifestyle_11,-0.005189767280021118
voters_11,-0.005210709205051578
business_5,-0.005225855896038989
blacklist_14,-0.00523667896347928
party_19,-0.005237893017046536
default_5,-0.0052503216352150165
sell_17,-0.005252394825594919
housing_2,-0.0052550902907786854
district_5,-0.005258365362148298
rights_4,-0.005265861513014803
services_15,-0.005271025084152625
profit_14,-0.005271245811219916
case_1,-0.0052810893866158
security_4,-0.00529686703399852
york_1,-0.005297022963027054
crisis_8,-0.005320824720679828
million_8,-0.005325220825254417
environment_5,-0.005332632056457664
district_10,-0.005335805738512089
party_20,-0.005350362914776063
office_5,-0.005355201079881344
economy_12,-0.00535898083741222
service_6,-0.0053608404636372505
government_4,-0.005371600058420478
million_9,-0.0054074426690242875
portfolio_4,-0.005432847192596979
william_5,-0.005452916573230304
district_11,-0.005486212764677556
nasdaq_17,-0.005490257600178872
health_5,-0.0054910341258058715
county_4,-0.00550518546939247
senate_13,-0.005506168743705619
crisis_5,-0.0055184982756169235
nasdaq_9,-0.005547532938463084
unemployment_8,-0.005555145504010617
buy_7,-0.005577000951136046
million_17,-0.0055788047975108505
election_1,-0.005578823586308368
debt_11,-0.005590405933479569
college_6,-0.0056114179954754205
senate_7,-0.00563277823267323
representatives_15,-0.0056448408896191404
water_17,-0.00565481269253989
ltd_4,-0.005658168165866795
economics_11,-0.0056775925346221005
opportunity_13,-0.00568491741825643
sell_9,-0.005699146209510797
ltd_18,-0.0057011368576466385
financial_15,-0.005710190799588876
hedge_16,-0.005710359615957605
house_4,-0.005717360419524575
cash_20,-0.005728887355362411
holiday_13,-0.005748263151452782
holiday_12,-0.0057662948051333315
default_18,-0.005768613074416696
york_16,-0.005780308524098254
crisis_16,-0.005782390549540839
nyse_15,-0.005784108047057757
act_14,-0.005798678089016462
food_9,-0.005820042821109084
arts_10,-0.0058255599273002055
vermont_15,-0.0058289448746861264
debt_6,-0.0058344853613308875
war_19,-0.005838520981625783
loss_20,-0.0058393369123967975
return_13,-0.005861794394552167
act_16,-0.0058649756054488964
members_7,-0.005872543393149798
culture_10,-0.005886463615652126
oil_14,-0.0058865862447532
restaurant_10,-0.005889201506259534
markets_18,-0.005889993758150957
labor_11,-0.005893968407129369
economics_9,-0.005895466031899987
freedom_12,-0.005897415177484567
georgia_17,-0.005899357549653606
service_4,-0.005916804291794686
pennsylvania_2,-0.005938875337776661
movement_3,-0.005953538954259363
political_10,-0.005956908489852353
seats_14,-0.005958852904388845
health_11,-0.005960285297138812
services_11,-0.005966669191142393
markets_1,-0.005972240362003345
security_5,-0.005979480254671455
fed_18,-0.005982312216657593
committee_3,-0.006014106737627323
default_14,-0.006015145493205543
college_16,-0.00601590913978971
portfolio_12,-0.006017283595215628
loss_8,-0.006021997144158742
political_2,-0.006022039199893836
house_17,-0.0060235475786134755
gain_7,-0.006024059404847093
culture_11,-0.006026491283151669
economics_1,-0.006038553148174586
gain_6,-0.006042141900295972
home_4,-0.006047550418070813
arts_19,-0.0060489078144417615
party_15,-0.006048997247035737
world_11,-0.006058259556930956
william_14,-0.006066805743727555
companies_7,-0.006081188056584752
culture_1,-0.006082911635363275
economics_20,-0.006088283488269774
missouri_13,-0.006088411949093176
politics_12,-0.006099933311717454
religion_13,-0.0061022369358936235
health_16,-0.006110844400880611
return_10,-0.006117341967903189
rights_5,-0.006124345807364473
firm_16,-0.006129367263383534
environment_16,-0.006131078949864532
lifestyle_10,-0.006133747866244032
loss_17,-0.006136314882080951
elected_13,-0.00614972484641263
DOW_JONES_17,-0.006154385882732605
union_17,-0.0061680479802319384
committee_6,-0.006218698143612955
rich_5,-0.006246232268251184
case_4,-0.006255644092674584
