feature,feature_score
ceo_20,0.00864552672278367
car_2,0.001869957598949834
services_1,0.0010600728046087139
bank_1,0.00045853920512952675
management_1,0.00019496233726945533
companies_1,-0.0005532384735324136
ltd_1,-0.0010165201875991681
service_1,-0.0010185432386862203
court_1,-0.0011873082122555666
DOW_JONES_1,-0.0014658127921552745
freedom_6,-0.0016877789205166581
management_6,-0.001918175142570666
ring_1,-0.002080433097658929
DOW_JONES_4,-0.0020925776157233456
fun_2,-0.002126624942191713
washington_4,-0.0024228644790376787
office_1,-0.0024270541487830368
community_1,-0.002449553924341341
county_1,-0.00275910743495702
act_1,-0.0028426879129153093
county_6,-0.0028748884215218594
ring_2,-0.002989471638874175
union_1,-0.0029935488588675786
social_1,-0.0030736730357803
success_20,-0.0031578242968571812
federal_1,-0.003251585005226265
kitchen_18,-0.003423405010772207
district_1,-0.003559047749527644
business_1,-0.003597349683782269
texas_4,-0.003994414235711563
fed_1,-0.004008955327522235
health_6,-0.004210896453396673
finance_6,-0.004386052642517901
media_6,-0.004442151960685847
economic_6,-0.004501225601096892
dividend_20,-0.0045215216932757984
movie_1,-0.004528726441203524
media_4,-0.004537326201882253
conflict_4,-0.004744481354139118
case_1,-0.004829151398428188
law_6,-0.004868532723874641
buy_1,-0.004878678178113027
travel_6,-0.00502198928300659
industry_19,-0.005034378379371751
returns_14,-0.005072510454206647
returns_11,-0.0051413029406273125
marketing_1,-0.0052647210837343476
car_4,-0.005350389545121037
financial_1,-0.005417132646978606
office_6,-0.005580868708380105
unemployment_9,-0.005705621521069948
energy_1,-0.005755287315024793
risk_10,-0.005818083677273056
seats_6,-0.005856221685415841
return_6,-0.005863207803982484
committee_19,-0.005897044180098043
district_6,-0.0059437140614608365
committee_18,-0.005973955529149233
cancer_18,-0.006050799695178344
labor_19,-0.006066862630682302
kitchen_2,-0.006091000849651929
federal_6,-0.0061646817039994195
inc_1,-0.006344169570351244
money_3,-0.006387448601863977
kitchen_4,-0.0064867705618783635
dow_jones_4,-0.00651304028510713
investment_7,-0.006513247830218938
cancer_20,-0.006532274709846098
government_4,-0.006651610021255206
credit_1,-0.006654970504791358
sell_19,-0.006669685109225276
environment_4,-0.0066975194267844705
bonds_6,-0.0067218842332412935
profit_6,-0.00679029219732683
finance_1,-0.006800611023138714
economics_6,-0.006825122150216867
crisis_13,-0.006840878799366257
industry_20,-0.00684268755061892
DOW_JONES_20,-0.006903728014095778
credit_6,-0.006944197662521146
marketing_18,-0.007005253505064845
health_1,-0.007023380834453441
restaurant_1,-0.0070852395091866695
kitchen_6,-0.0071699088031840445
return_1,-0.007175045428595972
