feature,feature_score
nasdaq_15,0.005818193790600845
party_16,0.004965819053546983
holiday_19,0.0048908093454452795
opportunity_2,0.004640662758907954
economic_19,0.004639344913241627
firm_18,0.004321129128806889
war_13,0.004264990713371409
members_5,0.004070188417686782
dividend_4,0.003744359216705151
happy_12,0.003545822379825303
car_1,0.003485523182778083
bubble_10,0.0033912874171635244
sell_20,0.003219327758913737
council_12,0.002989465159431459
car_17,0.0027599487339787566
texas_15,0.0027267311088763125
hedge_7,0.002718136682889849
lifestyle_20,0.002647124569768522
ring_18,0.0026309900780672633
william_13,0.0024634900639274536
industry_16,0.0024633617847744206
firm_15,0.0023541510466376534
stock_market_16,0.002284698621602188
voters_1,0.0022741577089448128
bubble_17,0.0019134658179935204
election_16,0.0018303677848400923
washington_11,0.0018119275273695613
georgia_18,0.0017511688658709446
return_10,0.0017219459224771861
risk_15,0.0017193319950972175
gain_20,0.0017020671074272186
bubble_3,0.0016597341217948537
dow_jones_20,0.0016581162231411374
pennsylvania_14,0.001631008779644194
success_16,0.0016112376987919453
william_10,0.0016102849901021177
train_4,0.0015701133957670699
georgia_15,0.0013702358746442212
gain_17,0.0012983248322869568
buy_19,0.0012675459604830186
dividend_14,0.0012335235258528643
home_1,0.0011967130631180157
politics_4,0.001132723145930581
massachusetts_14,0.0011294143386690215
train_14,0.0011245478314392487
travel_13,0.001099270501812799
development_4,0.0010981694342041993
million_16,0.0010645398554926411
water_17,0.0009913086840116492
returns_2,0.0009646319564394323
energy_15,0.0009424238195622214
housing_4,0.0009384907892477478
crisis_9,0.0008840984177773015
investment_20,0.0008501182962211251
success_5,0.0008195507992614593
train_5,0.0008081173836359756
illinois_17,0.0008075821563938268
gain_13,0.0007946112161899332
political_8,0.0007326744586294342
million_20,0.0007153562598373631
buy_10,0.0007143911803684899
project_18,0.0007104757082984303
loss_11,0.0007074468615861252
money_19,0.0007021358239247099
rich_4,0.0006868017655349723
money_18,0.0006813231371148642
ceo_17,0.0006707218760145572
industry_3,0.0006354214760457167
minister_15,0.0006275821691706706
senate_3,0.0005980806168231157
illinois_8,0.0005774463702369337
college_2,0.0005516498434685379
cancer_15,0.0004586432591933143
bubble_18,0.0004489317924626812
gain_11,0.000416604720169067
members_11,0.0004131395502078083
market_15,0.0003899062741827386
ministry_20,0.00036561899171319026
stats_10,0.0003280039322542949
fed_16,0.0003248422541879847
movement_6,0.00030271792997051963
project_14,0.00029873753409894734
debt_4,0.00029784865462263445
ring_5,0.0002935970740152838
judge_2,0.0002856268651192595
firm_4,0.00023511119845909256
DOW_JONES_6,0.0002216599796308616
founded_19,0.00021351118335670715
trader_19,0.00020037553931215868
religion_6,0.0001997297370018414
minister_19,0.0001982926084619363
virginia_4,0.00019027552833892348
stock_market_9,0.0001873473599998121
dividend_2,0.00016385205564959371
fine_3,0.00014183772385942817
republican_19,0.0001311878156611712
dow_jones_2,0.00013073025099186175
buy_14,0.00011436224561935937
returns_19,0.00010054075243137728
dividend_20,9.80609124158871e-05
money_10,9.332903799119663e-05
rich_5,7.96899106821014e-05
buy_15,6.928989169421306e-05
crash_17,5.501446751827732e-05
voters_16,4.718495479187901e-05
dividend_17,4.376517941317992e-05
garden_20,2.1371367373190787e-05
party_3,-5.224714622786841e-06
judge_8,-2.904267382108916e-05
industry_11,-3.326720162288854e-05
corporation_15,-3.890167066806782e-05
police_15,-4.171362888820696e-05
banking_19,-4.5154150756787637e-05
members_8,-5.950797972413824e-05
case_8,-7.009438763740938e-05
default_10,-7.055464990095573e-05
home_19,-7.953546364585229e-05
washington_8,-9.719453143000045e-05
members_19,-0.00012364856184743367
bonds_5,-0.00013752952153791575
earnings_6,-0.00013804088529174586
project_15,-0.00014254702985474487
virginia_9,-0.00014293660869797443
opportunity_4,-0.00015052441051170983
representatives_6,-0.00016165680854152154
voters_9,-0.00018903477163101368
trader_7,-0.0001908281611963103
elections_16,-0.00019584435478976482
fun_17,-0.00022411010399021604
success_12,-0.00023876348082401132
stock_market_15,-0.0002606838237176223
happy_10,-0.00027125815258490784
dividend_1,-0.00027278648148487683
tennessee_18,-0.0002765322716086871
garden_18,-0.00029400263337380216
ministry_13,-0.000297994079732522
money_14,-0.000316350978899993
housing_15,-0.00032210128843335184
growth_17,-0.0003362485389007963
risk_18,-0.00034459968119047166
pennsylvania_4,-0.00035944714154030334
secretary_18,-0.00036598463605832523
garden_15,-0.00036630917742239697
illinois_2,-0.00038538495877844526
money_17,-0.00039007248263682736
trader_15,-0.00039025583344181046
secretary_8,-0.00039737337829737207
illinois_19,-0.00039768432521309905
DOW_JONES_16,-0.00041946633665104207
marriage_3,-0.00042086672445329487
union_15,-0.0004420211369267291
social_18,-0.0004422980477355454
stats_6,-0.00044680302389068507
president_18,-0.0004690794197455883
elected_15,-0.0004805884197171428
gain_19,-0.0004908252125958024
profit_11,-0.0005048898240757049
housing_17,-0.0005126133097111297
cash_6,-0.0005139584479789238
president_14,-0.0005406544724062323
politics_8,-0.0005464135345480514
trader_4,-0.0005561337904183671
rights_3,-0.0005637464819937765
food_14,-0.0005708263643926292
gain_18,-0.0005803982375602867
home_20,-0.0005808344528292376
portfolio_3,-0.0005818648203279375
industry_18,-0.0005885528000780571
travel_7,-0.0005898131167012544
texas_7,-0.0006270948732171044
ring_6,-0.0006339090382199153
holiday_13,-0.0006343291512666438
virginia_18,-0.0006378044208962264
products_18,-0.0006400175941830399
voters_17,-0.000640169297577664
seats_6,-0.0006485080863385617
earnings_14,-0.0006521004224893101
ministry_6,-0.0006552745563710216
crash_15,-0.0006762073184358064
crash_2,-0.0006782951038712959
william_12,-0.0006842819893894348
justice_10,-0.0006879287593725581
dividend_6,-0.0006902394065855689
economics_7,-0.0006912678144810558
culture_2,-0.000695324921710938
ring_4,-0.0007132664059296579
garden_19,-0.0007182854772570524
investment_8,-0.0007202311790522886
government_10,-0.0007211216714302804
society_1,-0.0007291548312665208
default_17,-0.0007369154300880032
marketing_15,-0.0007454482399470663
secretary_4,-0.0007587126576724668
representatives_20,-0.000763585092674024
texas_19,-0.000765650562131226
sell_4,-0.0007800710084006068
representatives_19,-0.0007926742058813607
nasdaq_1,-0.0008161676295681986
labor_13,-0.0008166736341504554
profit_8,-0.0008217566020894296
economy_3,-0.000831487419836674
garden_5,-0.0008481915809430473
movement_14,-0.0008484039499051077
inc_15,-0.0008557072471369942
ring_19,-0.0008599738185166128
economy_14,-0.0008621640867501057
society_15,-0.0008654006035782036
social_14,-0.0008707179849794411
energy_20,-0.0008746650596783035
blacklist_7,-0.0008787986156172156
present_11,-0.0008789179064212282
religion_3,-0.0008845262247558994
votes_13,-0.0008876739894847496
movie_19,-0.0008912036678698331
companies_15,-0.0009062935274423367
holiday_12,-0.0009085703430321779
million_3,-0.0009099748369295613
judge_12,-0.000916213313544767
bubble_15,-0.0009168337165751161
rights_1,-0.0009242891378589801
revenue_3,-0.0009322554202326084
firm_17,-0.0009490526122133414
voters_7,-0.0009624082198282036
democratic_20,-0.0009634290172447546
happy_15,-0.0009710086252596283
present_13,-0.000971780450187043
cancer_14,-0.0009736372822835238
council_18,-0.000973864577825978
party_10,-0.0009779026569715743
president_6,-0.0009837040198952484
voters_19,-0.0009911443978061873
risk_14,-0.000996027754639517
washington_10,-0.0010006810216108164
justice_6,-0.0010084543834326886
cash_5,-0.0010231300034536871
movement_15,-0.0010350345723896925
justice_4,-0.0010388978145937865
social_17,-0.0010448724318558034
hedge_9,-0.0010466987923571259
social_15,-0.0010480073742347162
finance_17,-0.0010505458915524013
firm_9,-0.0010567412529133512
markets_5,-0.001062616794871274
dow_jones_19,-0.0010635486010673212
profit_17,-0.0010663344795184715
default_19,-0.0010665644919527928
global_20,-0.0010737454641012612
crisis_13,-0.0010824549230213476
color_2,-0.001083045942270089
war_18,-0.001083748183139055
ministry_15,-0.0010844077361923832
happy_16,-0.0010863601225562514
money_15,-0.0010867719514600304
politics_18,-0.0010908150253045256
loss_3,-0.00109835540264398
act_1,-0.0011050859257083045
ceo_4,-0.0011098314414445198
nasdaq_18,-0.0011122678068770319
