feature,feature_score
tourism_19,-0.1280819024275367
investment_19,-0.1339984651858788
rights_19,-0.13426755986860245
BUY_AND_HOLD_19,-0.13859236482178972
opportunity_19,-0.13964607508967047
million_15,-0.1455235926776662
market_19,-0.1464088235906905
technology_20,-0.1484129201359568
debt_5,-0.1486412268179294
BUY_AND_HOLD_13,-0.1488550775663712
environment_12,-0.14902511595196527
cancer_15,-0.1493131243698135
elections_19,-0.15182834228755143
massachusetts_19,-0.15188661801861986
economy_2,-0.15217504057054396
political_19,-0.1524811469599424
governor_19,-0.15254371352915883
representatives_4,-0.15262145349106987
growth_19,-0.1526408161600826
consume_6,-0.15265467121086437
blacklist_20,-0.15291257986788118
technology_19,-0.15304327935691964
economy_19,-0.1535483721064539
risk_19,-0.15401375992157085
cancer_19,-0.15416453685946346
nyse_19,-0.15492237571521147
election_19,-0.15539804386408704
secretary_4,-0.15548387805702
environment_19,-0.1554926425552635
bubble_19,-0.15553771187355772
invest_19,-0.15585401068134805
ltd_2,-0.15594620711792687
profit_19,-0.1561112319719762
restaurant_19,-0.15629307444624685
happy_4,-0.15701467766465055
virginia_19,-0.1571413093231932
metals_19,-0.15749874399049338
corporation_19,-0.158463902028787
marketing_19,-0.15915376600761913
tennessee_19,-0.15924690812456382
blacklist_18,-0.1594511940024196
fine_19,-0.15975516631142156
nasdaq_20,-0.16007098671019465
wisconsin_19,-0.1602513944765394
voters_19,-0.1616840260288469
million_3,-0.16212620429495386
gold_19,-0.16213442307195003
business_19,-0.1621706041333916
cancer_4,-0.1625495558930237
industry_19,-0.16259231659573972
tourism_5,-0.16260820836182993
crash_19,-0.16279352255915086
illinois_19,-0.16310244213466155
georgia_19,-0.16312739346980368
technology_4,-0.16317884082359746
derivatives_19,-0.16344594640062357
culture_19,-0.16351636781446632
washington_1,-0.16381848229305934
markets_19,-0.16389070571387737
trader_3,-0.16399563935973946
housing_19,-0.16405527718898247
judge_19,-0.1640887182683817
trader_19,-0.16441592403934666
water_19,-0.16453691072360338
police_19,-0.16470807336782725
pennsylvania_4,-0.16475037103857199
financial_markets_19,-0.16495045211082546
rare_earths_19,-0.16495045211082546
greed_19,-0.16495045211082546
court_19,-0.16496716911366094
oil_6,-0.16511517033787088
color_19,-0.16513381944715133
seats_19,-0.1652251890782217
gain_15,-0.1653362892897146
lifestyle_19,-0.1655322681971467
committee_19,-0.16556492176335152
economics_19,-0.16566770648136936
legal_19,-0.16573969421433996
train_19,-0.16574275545082892
travel_19,-0.16586655829914337
fun_19,-0.16593531159873748
ring_19,-0.16642875348694816
william_19,-0.16643215143429282
senate_6,-0.16665615503671344
district_19,-0.1667311515898255
act_19,-0.16674296167504105
washington_19,-0.16695446701165076
financial_19,-0.166955019272796
services_19,-0.1670008315056723
consumption_19,-0.16700755327220165
portfolio_19,-0.16702788313144293
fed_19,-0.16710072963401731
development_19,-0.16721517882173248
global_19,-0.1672306163570996
service_19,-0.16730511828975403
kentucky_19,-0.16739438838867213
office_19,-0.1673957381289693
oil_19,-0.1675495167932363
inc_19,-0.16768556927638215
BUY_AND_HOLD_7,-0.16769108325172868
debt_19,-0.1678221256825566
voters_6,-0.1678334157021684
society_19,-0.16801804246863217
ceo_19,-0.16802944508103085
ministry_3,-0.16804358629713018
nasdaq_4,-0.16809886753484207
tourism_13,-0.16814211110741326
markets_4,-0.16821486403714325
served_19,-0.1684216616343881
committee_4,-0.16863850389803625
bank_19,-0.16887476403890261
law_19,-0.16889224819554352
economic_19,-0.16942311367839963
rich_19,-0.16948233731649653
management_19,-0.16951073699449973
marriage_19,-0.16955826469129634
federal_19,-0.1697589884430063
blacklist_6,-0.16983098780699482
representatives_20,-0.17048162075853765
investment_4,-0.17054093320985653
arts_19,-0.17059019856202723
founded_19,-0.17060525545331642
county_19,-0.17062062852038007
default_19,-0.17079979175743418
companies_19,-0.17103958220208187
kitchen_20,-0.17135443557127508
crash_20,-0.17162471130957185
food_19,-0.17220082641050755
health_19,-0.1722507648321459
crisis_5,-0.1722974072125994
police_4,-0.17237299605656556
secretary_19,-0.17244601329661316
debt_13,-0.17262659706183525
minister_14,-0.17287246701168785
short_sell_19,-0.17292065341765794
blacklist_4,-0.17304650262477533
loss_19,-0.17308497530690464
college_19,-0.17321760436850053
movement_19,-0.17323762488212308
police_20,-0.1732391552960383
labor_17,-0.17324083035678783
corporation_17,-0.17328131173861783
present_19,-0.1735512285687064
ohio_19,-0.17370625138989432
york_19,-0.17385597308505052
republican_9,-0.17401934338422093
returns_19,-0.17403904420953417
legal_4,-0.17441582762016924
kentucky_5,-0.1744218402733018
seats_5,-0.17456980364942223
case_6,-0.17457718282681217
community_19,-0.17458206025361772
ring_1,-0.17475151593474825
texas_19,-0.17524385743508775
transaction_19,-0.17538862400162006
house_19,-0.17567433321340759
votes_19,-0.17572057219800757
stock_market_19,-0.17580613243587506
security_20,-0.17598761589966988
stocks_19,-0.1762194012570624
project_19,-0.1764780597330467
marketing_4,-0.17668995343367372
markets_7,-0.176984857215815
tourism_9,-0.177227041131425
holiday_6,-0.17768699400916918
william_4,-0.17778949105328476
